"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Brian Burres","Orioles","6","8","0","37","17","121.0","7.14","4.91","1.04",".333","67.9 %","37.7 %","9.1 %","5.95","4.92","5.01","0.9","3425"
"Vinnie Chulk","Giants","5","4","0","57","0","53.0","6.96","2.38","0.51",".309","72.5 %","30.6 %","3.9 %","3.57","3.33","4.42","0.9","1838"
"Aaron Laffey","Indians","4","2","0","9","9","49.1","4.56","2.19","0.36",".317","65.5 %","62.4 %","6.5 %","4.56","3.73","3.99","0.9","6248"
"Matt Thornton","White Sox","4","4","2","68","0","56.1","8.79","4.15","0.64",".340","68.8 %","47.0 %","7.0 %","4.79","3.70","4.05","0.9","1918"
"Brian Fuentes","Rockies","3","5","20","64","0","61.1","8.22","3.38","0.88",".245","74.0 %","35.9 %","8.3 %","3.08","4.15","4.35","0.9","429"
"Aaron Heilman","Mets","7","7","1","81","0","86.0","6.59","2.09","0.84",".250","71.1 %","44.9 %","9.1 %","3.03","3.86","3.93","0.9","1751"
"Dallas Braden","Athletics","1","8","0","20","14","72.1","6.84","3.24","1.12",".342","56.4 %","37.0 %","8.3 %","6.72","4.50","4.77","0.9","8099"
"Jason Hirsh","Rockies","5","7","0","19","19","112.1","6.01","3.85","1.44",".250","70.4 %","30.2 %","10.1 %","4.81","5.32","5.24","0.9","6293"
"Franklin Morales","Rockies","3","2","0","8","8","39.1","5.95","3.20","0.46",".269","74.2 %","54.9 %","6.7 %","3.43","3.80","4.09","0.9","5088"
"Eric Gagne","- - -","4","2","16","54","0","52.0","8.83","3.63","0.52",".315","73.4 %","38.5 %","5.2 %","3.81","3.30","3.95","0.9","650"
"Casey Janssen","Blue Jays","2","3","6","70","0","72.2","4.83","2.48","0.50",".273","80.6 %","48.9 %","5.3 %","2.35","3.83","4.43","0.9","7355"
"Joel Peralta","Royals","1","3","1","62","0","87.2","6.78","1.95","0.92",".311","74.0 %","36.1 %","7.8 %","3.80","3.79","4.10","0.8","2332"
"Jamie Walker","Orioles","3","2","7","81","0","61.1","6.02","2.49","0.88",".266","75.4 %","33.5 %","6.7 %","3.23","4.10","4.67","0.8","502"
"Bobby Livingston","Reds","3","3","0","10","10","56.1","4.31","1.28","1.28",".335","68.2 %","42.1 %","11.0 %","5.27","4.61","4.39","0.8","3876"
"Chad Qualls","Astros","6","5","5","79","0","82.2","8.49","2.72","1.09",".323","84.7 %","56.7 %","14.7 %","3.05","3.94","3.40","0.8","2170"
"Julian Tavarez","Red Sox","7","11","0","34","23","134.2","5.15","3.41","0.94",".301","63.4 %","53.8 %","10.0 %","5.15","4.74","4.69","0.8","541"
"Joba Chamberlain","Yankees","2","0","1","19","0","24.0","12.75","2.25","0.38",".224","96.6 %","36.7 %","5.0 %","0.38","1.82","2.33","0.8","2692"
"Brad Lidge","Astros","5","3","19","66","0","67.0","11.82","4.03","1.21",".288","78.3 %","42.4 %","13.2 %","3.36","3.88","3.41","0.8","563"
"Pedro Feliciano","Mets","2","2","2","78","0","64.0","8.58","4.36","0.42",".251","72.3 %","55.7 %","6.4 %","3.09","3.63","3.94","0.8","1601"
"Jason Bergmann","Nationals","6","6","0","21","21","115.1","6.71","3.28","1.40",".244","71.3 %","33.4 %","10.5 %","4.45","4.92","4.76","0.8","4640"
"John Bale","Royals","1","1","0","26","0","40.0","9.45","3.82","0.22",".373","73.1 %","43.4 %","2.6 %","4.05","2.81","3.68","0.8","864"
"Ervin Santana","Angels","7","14","0","28","26","150.0","7.56","3.48","1.56",".324","67.3 %","35.6 %","11.9 %","5.76","5.13","4.70","0.8","3200"
"Chris Schroder","Nationals","2","3","0","37","0","45.1","8.54","2.98","0.40",".262","67.7 %","33.6 %","3.0 %","3.18","3.04","4.29","0.8","3553"
"Scot Shields","Angels","4","5","2","71","0","77.0","9.00","3.86","0.82",".276","70.6 %","44.6 %","9.5 %","3.86","3.86","3.89","0.8","35"
"Dan Wheeler","- - -","1","9","11","70","0","74.2","9.88","2.77","1.33",".312","61.5 %","36.5 %","11.7 %","5.30","4.00","3.67","0.8","120"
"Andrew Brown","Athletics","3","3","0","33","0","41.2","9.29","3.67","0.22",".325","65.4 %","40.7 %","2.2 %","4.54","2.93","4.00","0.7","2115"
"Todd Jones","Tigers","1","4","38","63","0","61.1","4.84","3.38","0.44",".296","70.1 %","45.9 %","4.5 %","4.26","3.92","4.66","0.7","436"
"Claudio Vargas","Brewers","11","6","1","29","23","134.1","7.17","3.62","1.54",".310","73.0 %","33.8 %","12.0 %","5.09","5.12","4.69","0.7","1695"
"Justin Hampson","Padres","2","3","0","39","0","53.1","5.74","2.70","0.17",".285","76.2 %","46.8 %","1.7 %","2.70","3.28","4.44","0.7","2209"
"Clay Buchholz","Red Sox","3","1","0","4","3","22.2","8.74","3.97","0.00",".255","76.0 %","38.5 %","0.0 %","1.59","2.75","3.70","0.7","3543"
"Jensen Lewis","Indians","1","1","0","26","0","29.1","10.43","3.07","0.31",".316","81.5 %","32.5 %","2.7 %","2.15","2.49","3.63","0.7","3384"
"Zach Duke","Pirates","3","8","0","20","19","107.1","3.44","2.10","1.17",".368","67.9 %","50.6 %","11.9 %","5.53","4.95","4.64","0.7","3840"
"C.J. Wilson","Rangers","2","1","12","66","0","68.1","8.30","4.35","0.53",".257","76.7 %","49.2 %","8.2 %","3.03","3.87","4.01","0.7","3580"
"Vicente Padilla","Rangers","6","10","0","23","23","120.1","5.31","3.74","1.20",".319","64.1 %","45.7 %","11.3 %","5.76","5.26","5.00","0.7","964"
"Tony Pena","Diamondbacks","5","4","2","75","0","85.1","6.64","3.27","0.84",".232","71.8 %","48.1 %","8.2 %","3.27","4.25","4.45","0.7","4573"
"Michael Wuertz","Cubs","2","3","0","73","0","72.1","9.83","4.35","1.00",".295","78.6 %","44.0 %","10.3 %","3.48","3.94","3.86","0.7","1856"
"Sean Green","Mariners","5","2","0","64","0","68.0","7.01","4.50","0.26",".354","74.6 %","60.9 %","5.1 %","3.84","3.70","4.03","0.7","3001"
"Matt Guerrier","Twins","2","4","1","73","0","88.0","6.95","2.15","0.92",".250","87.7 %","47.5 %","9.7 %","2.35","3.91","3.91","0.7","2061"
"Ryan Franklin","Cardinals","4","4","1","69","0","80.0","4.95","1.24","0.90",".247","76.9 %","48.4 %","9.3 %","3.04","3.96","4.01","0.7","1076"
"Troy Percival","Cardinals","3","0","0","34","1","40.0","8.10","2.25","0.68",".208","87.3 %","33.0 %","5.3 %","1.80","3.16","3.98","0.7","29"
"Josh Towers","Blue Jays","5","10","0","25","15","107.0","6.39","1.85","1.51",".320","63.7 %","43.9 %","14.1 %","5.38","4.79","4.10","0.6","1489"
"Matt Wise","Brewers","3","2","1","56","0","53.2","7.21","2.85","0.84",".329","68.1 %","34.9 %","6.0 %","4.19","3.85","4.61","0.6","42"
"Jason Isringhausen","Cardinals","4","0","32","63","0","65.1","7.44","3.86","0.55",".212","76.8 %","44.5 %","5.9 %","2.48","3.76","4.27","0.6","1158"
"Jason Grilli","Tigers","5","3","0","57","0","79.2","7.00","3.62","0.56",".306","64.9 %","44.8 %","5.2 %","4.74","3.89","4.60","0.6","521"
"Juan Cruz","Diamondbacks","6","1","0","53","0","61.0","12.84","4.72","1.03",".290","74.8 %","34.8 %","11.1 %","3.10","3.70","3.50","0.6","273"
"John Danks","White Sox","6","13","0","26","26","139.0","7.06","3.50","1.81",".309","70.5 %","34.8 %","13.8 %","5.50","5.54","4.76","0.6","6329"
"Woody Williams","Astros","8","15","0","33","31","188.0","4.84","2.54","1.68",".286","72.0 %","39.2 %","12.1 %","5.27","5.62","5.13","0.6","1190"
"Jesse Litsch","Blue Jays","7","9","0","20","20","111.0","4.05","2.92","1.14",".275","73.9 %","48.1 %","10.9 %","3.81","5.14","4.96","0.6","3688"
"Eric O'Flaherty","Mariners","7","1","0","56","0","52.1","6.19","3.44","0.17",".277","64.1 %","44.7 %","1.7 %","4.47","3.55","4.71","0.6","5746"
"Angel Guzman","Cubs","0","1","0","12","3","30.1","7.71","2.67","0.59",".337","77.1 %","44.9 %","6.3 %","3.56","3.47","3.94","0.6","2145"
"Rafael Soriano","Braves","3","3","9","71","0","72.0","8.75","1.88","1.50",".198","80.5 %","33.0 %","12.6 %","3.00","4.17","3.66","0.6","1100"
"Darren Oliver","Angels","3","1","0","61","0","64.1","7.13","3.22","0.70",".275","68.0 %","48.0 %","6.4 %","3.78","3.78","4.29","0.6","206"
"Kevin Cameron","Padres","2","0","0","48","0","58.0","7.76","5.59","0.00",".311","73.6 %","48.5 %","0.0 %","2.79","3.38","4.57","0.6","3523"
"Fernando Rodney","Tigers","2","6","1","48","0","50.2","9.59","3.73","0.89",".293","68.3 %","45.3 %","10.2 %","4.26","3.81","3.74","0.6","494"
"Joe Borowski","Indians","4","5","45","69","0","65.2","7.95","2.33","1.23",".330","68.4 %","33.7 %","9.7 %","5.07","4.12","4.12","0.6","267"
"Tyler Yates","Braves","2","3","2","75","0","66.0","9.41","4.23","0.82",".314","60.3 %","46.5 %","8.8 %","5.18","3.88","3.99","0.5","1527"
"Scott Olsen","Marlins","10","15","0","33","33","176.2","6.78","4.33","1.48",".341","65.6 %","37.6 %","12.8 %","5.81","5.33","4.81","0.5","4529"
"Randy Messenger","- - -","2","4","1","60","0","64.1","4.76","2.94","0.56",".351","75.9 %","45.6 %","4.5 %","4.20","4.02","4.92","0.5","2658"
"Tim Byrdak","Tigers","3","0","1","39","0","45.0","9.80","5.20","0.60",".292","69.1 %","40.8 %","6.5 %","3.20","3.73","4.14","0.5","1995"
"Zach Miner","Tigers","3","4","0","34","1","53.2","5.70","3.69","0.50",".306","75.9 %","56.1 %","6.4 %","3.02","3.93","4.30","0.5","3193"
"Buddy Carlyle","Braves","8","7","0","22","20","107.0","6.22","2.69","1.60",".293","67.5 %","32.4 %","12.6 %","5.21","5.12","4.58","0.5","2010"
"Justin Speier","Angels","2","3","0","51","0","50.0","8.46","2.16","1.08",".233","80.3 %","37.4 %","9.1 %","2.88","3.88","3.98","0.5","451"
"Brian Wilson","Giants","1","2","6","24","0","23.2","6.85","2.66","0.38",".227","79.7 %","56.1 %","5.3 %","2.28","3.28","3.74","0.5","6485"
"Brendan Donnelly","Red Sox","2","1","0","27","0","20.2","6.53","2.18","0.00",".288","71.4 %","33.8 %","0.0 %","3.05","3.09","5.04","0.5","1441"
"Manny Parra","Brewers","0","1","0","9","2","26.1","8.89","4.10","0.34",".320","69.2 %","32.9 %","3.1 %","3.76","3.35","4.38","0.5","4279"
"Pat Misch","Giants","0","4","0","18","4","40.1","5.80","2.68","0.67",".331","70.4 %","42.9 %","6.8 %","4.24","3.96","4.36","0.5","5909"
"Lenny DiNardo","Athletics","8","10","0","35","20","131.1","4.04","3.43","0.89",".286","67.3 %","56.3 %","11.6 %","4.11","4.84","4.62","0.5","1894"
"Will Ohman","Cubs","2","4","1","56","0","36.1","8.17","3.96","0.74",".339","71.2 %","40.7 %","6.4 %","4.95","3.90","4.45","0.5","296"
"Peter Moylan","Braves","5","3","1","80","0","90.0","6.30","3.10","0.60",".234","80.3 %","62.2 %","9.5 %","1.80","3.97","3.98","0.5","4891"
"Ron Mahay","- - -","3","0","1","58","0","67.0","7.39","4.97","0.54",".261","82.9 %","48.9 %","6.3 %","2.55","4.08","4.48","0.5","290"
"Homer Bailey","Reds","4","2","0","9","9","45.1","5.56","5.56","0.60",".280","60.2 %","46.5 %","5.9 %","5.76","4.92","5.47","0.5","8362"
"Shawn Chacon","Pirates","5","4","1","64","4","96.0","7.41","4.50","0.84",".302","78.6 %","43.8 %","8.3 %","3.94","4.53","4.74","0.5","424"
"Chris Bootcheck","Angels","3","3","0","51","0","77.1","6.52","2.79","0.81",".310","66.9 %","43.6 %","7.8 %","4.77","4.09","4.38","0.5","1842"
"Anthony Reyes","Cardinals","2","14","0","22","20","107.1","6.20","3.61","1.34",".277","60.3 %","35.2 %","10.5 %","6.04","5.25","5.09","0.5","7105"
"Rudy Seanez","Dodgers","6","3","1","73","0","76.0","8.64","3.20","1.18",".316","80.0 %","36.1 %","10.4 %","3.79","4.25","4.13","0.5","1279"
"Jason Stanford","Indians","1","1","0","8","2","26.1","5.47","2.39","0.34",".337","65.7 %","46.2 %","2.7 %","4.78","3.54","4.81","0.5","1763"
"Eric Milton","Reds","0","4","0","6","6","31.1","5.17","2.59","1.15",".313","63.7 %","25.9 %","7.1 %","5.17","4.61","5.19","0.5","743"
"Edinson Volquez","Rangers","2","1","0","6","6","34.0","7.68","3.97","1.06",".303","72.7 %","38.2 %","9.8 %","4.50","4.56","4.55","0.5","3990"
"Chad Cordero","Nationals","3","3","37","76","0","75.0","7.44","3.48","0.96",".302","78.7 %","38.1 %","8.2 %","3.36","4.13","4.39","0.5","1816"
"Tyler Walker","Giants","2","0","0","15","0","14.1","5.65","2.51","0.00",".300","87.5 %","35.0 %","0.0 %","1.26","2.82","4.48","0.4","901"
"Ehren Wassermann","White Sox","1","1","0","33","0","23.0","5.48","2.74","0.00",".282","69.0 %","70.0 %","0.0 %","2.74","3.20","3.91","0.4","6380"
"Joel Pineiro","- - -","7","5","0","42","11","97.2","5.53","2.40","1.29",".303","75.2 %","48.6 %","12.5 %","4.33","4.73","4.31","0.4","1094"
"Jeremy Affeldt","Rockies","4","3","0","75","0","59.0","7.02","5.03","0.46",".262","72.3 %","53.0 %","5.6 %","3.51","4.17","4.66","0.4","583"
"Hong-Chih Kuo","Dodgers","1","4","0","8","6","30.1","8.01","4.15","0.89",".337","52.4 %","30.5 %","6.4 %","7.42","4.23","4.89","0.4","7016"
"Matt Herges","Rockies","5","1","0","35","0","48.2","5.55","2.77","0.74",".211","73.7 %","46.5 %","7.4 %","2.96","4.00","4.32","0.4","780"
"Dennis Sarfate","Astros","1","0","0","7","0","8.1","15.12","1.08","0.00",".313","83.3 %","62.5 %","0.0 %","1.08","0.24","0.84","0.4","2174"
"Mike Pelfrey","Mets","3","8","0","15","13","72.2","5.57","4.83","0.74",".325","69.0 %","48.3 %","8.8 %","5.57","5.06","5.16","0.4","5203"
"Jared Burton","Reds","4","2","0","47","0","43.0","7.53","4.60","0.42",".228","75.2 %","45.2 %","4.3 %","2.51","3.84","4.58","0.4","8346"
"Kason Gabbard","- - -","6","1","0","15","15","81.1","6.09","4.54","0.89",".258","70.6 %","54.9 %","11.4 %","4.65","4.94","4.74","0.4","3418"
"Chuck James","Braves","11","10","0","30","30","161.1","6.47","3.24","1.79",".273","81.9 %","31.0 %","13.1 %","4.24","5.48","4.80","0.4","4886"
"Kenny Rogers","Tigers","3","4","0","11","11","63.0","5.14","3.57","1.14",".278","68.9 %","47.9 %","12.9 %","4.43","4.99","4.57","0.4","1277"
"Jamey Wright","Rangers","4","5","0","20","9","77.0","4.56","4.79","0.70",".276","75.7 %","54.8 %","9.0 %","3.62","5.03","5.11","0.4","715"
"Chris Ray","Orioles","5","6","16","43","0","42.2","9.28","3.80","1.05",".273","68.8 %","44.7 %","11.6 %","4.43","4.11","3.85","0.4","6315"
"Ryan Madson","Phillies","2","2","1","38","0","56.0","6.91","3.70","0.80",".262","81.8 %","47.3 %","9.4 %","3.05","4.20","4.23","0.4","1852"
"Lance Broadway","White Sox","1","1","0","4","1","10.1","12.19","4.35","0.00",".227","80.0 %","36.4 %","0.0 %","0.87","1.98","2.95","0.4","9885"
"Mike Stanton","Reds","1","3","0","69","0","57.2","6.24","2.81","0.94",".356","65.9 %","35.9 %","7.5 %","5.93","4.40","4.79","0.4","849"
"Joe Kennedy","- - -","4","9","0","39","16","110.2","4.15","4.47","0.73",".292","68.7 %","48.9 %","6.9 %","4.80","5.11","5.54","0.4","1217"
"Shane Youman","Pirates","3","5","0","16","8","57.1","4.55","3.61","0.78",".306","61.2 %","38.3 %","6.3 %","5.97","4.77","5.37","0.4","3888"
"Jack Cassel","Padres","1","1","0","6","4","22.2","4.37","1.99","0.40",".363","75.1 %","41.3 %","3.8 %","3.97","3.64","4.50","0.4","3052"
"J.P. Howell","Devil Rays","1","6","0","10","10","51.0","8.65","3.71","1.41",".374","58.7 %","46.1 %","15.4 %","7.59","4.77","4.01","0.4","8245"
"Steve Trachsel","- - -","7","11","0","29","29","158.0","3.19","4.33","1.08",".286","72.6 %","41.2 %","8.6 %","4.90","5.58","5.77","0.4","898"
"Russ Ortiz","Giants","2","3","0","12","8","49.0","4.96","3.67","0.73",".319","65.9 %","42.4 %","6.9 %","5.51","4.79","5.21","0.4","1124"
"Oscar Villarreal","Braves","2","2","1","51","0","76.1","6.84","3.77","0.71",".292","69.2 %","44.3 %","7.7 %","4.24","4.16","4.42","0.4","1654"
"Jason Jennings","Astros","2","9","0","19","18","99.0","6.45","3.09","1.73",".313","63.9 %","35.2 %","13.1 %","6.45","5.39","4.73","0.4","434"
"Frank Francisco","Rangers","1","1","0","59","0","59.1","7.43","5.76","0.46",".307","69.0 %","35.3 %","4.1 %","4.55","4.27","5.17","0.4","1933"
"Juan Oviedo","Royals","2","4","0","13","6","43.2","7.63","2.06","1.65",".283","77.1 %","32.3 %","12.3 %","3.92","4.61","4.10","0.4","2886"
"Santiago Casilla","Athletics","3","1","2","46","0","50.2","9.24","4.09","1.07",".270","71.7 %","33.3 %","8.3 %","4.44","4.15","4.39","0.4","2873"
"Kerry Wood","Cubs","1","1","0","22","0","24.1","8.88","4.81","0.00",".281","71.0 %","33.9 %","0.0 %","3.33","2.87","4.42","0.4","304"
"Carlos Villanueva","Brewers","8","5","1","59","6","114.1","7.79","4.17","1.26",".267","78.0 %","36.3 %","10.4 %","3.94","4.80","4.67","0.4","4138"
"Ian Kennedy","Yankees","1","0","0","3","3","19.0","7.11","4.26","0.47",".231","77.7 %","26.4 %","3.7 %","1.89","3.77","4.86","0.4","6986"
"Manny Delcarmen","Red Sox","0","0","1","44","0","44.0","8.39","3.48","0.82",".214","87.0 %","44.6 %","9.3 %","2.05","3.85","3.90","0.4","3180"
"Jorge de la Rosa","Royals","8","12","0","26","23","130.0","5.68","3.67","1.38",".325","68.1 %","40.6 %","11.4 %","5.82","5.27","4.96","0.4","2047"
"Jack Taschner","Giants","3","1","0","63","0","50.0","9.18","5.22","0.72",".292","62.9 %","32.8 %","6.0 %","5.40","4.04","4.68","0.4","2766"
"Rich Harden","Athletics","1","2","0","7","4","25.2","9.47","3.86","1.05",".254","88.7 %","38.7 %","11.5 %","2.45","3.94","3.69","0.4","1772"
"Zach McClellan","Rockies","1","0","0","12","0","14.0","8.36","3.21","0.00",".444","64.0 %","54.5 %","0.0 %","5.79","2.45","3.17","0.3","2965"
"Mark Redman","- - -","2","4","0","11","8","41.1","5.88","3.70","1.31",".358","58.9 %","35.5 %","9.0 %","7.62","5.20","5.35","0.3","491"
"Brandon Morrow","Mariners","3","4","0","60","0","63.1","9.38","7.11","0.43",".314","75.9 %","35.2 %","3.8 %","4.12","4.19","5.12","0.3","9346"
"Jimmy Gobble","Royals","4","1","1","74","0","53.2","8.39","3.86","1.01",".329","79.9 %","35.0 %","8.7 %","3.02","4.23","4.39","0.3","1791"
"Michael Gonzalez","Braves","2","0","2","18","0","17.0","6.88","4.24","0.00",".306","87.0 %","38.8 %","0.0 %","1.59","3.12","4.60","0.3","1794"
"Jason Hammel","Devil Rays","3","5","0","24","14","85.0","6.78","4.24","1.27",".331","67.1 %","40.9 %","10.1 %","6.14","5.05","4.97","0.3","4538"
"Aaron Fultz","Indians","4","3","0","49","0","37.0","6.81","4.38","0.49",".266","80.5 %","35.1 %","4.2 %","2.92","3.97","4.89","0.3","1113"
"Bob Wickman","- - -","3","4","20","57","0","50.1","6.62","3.75","0.72",".299","74.6 %","44.0 %","6.3 %","3.58","4.23","4.79","0.3","413"
"Joe Thatcher","Padres","2","2","0","22","0","21.0","6.86","2.57","0.43",".197","75.3 %","54.8 %","4.3 %","1.29","3.33","4.09","0.3","4620"
"Chris Sampson","Astros","7","8","0","24","19","121.2","3.77","2.22","1.48",".285","75.5 %","47.3 %","13.1 %","4.59","5.45","4.89","0.3","2651"
"John Parrish","- - -","2","2","0","53","0","52.0","7.10","6.40","0.35",".355","68.6 %","54.4 %","4.0 %","5.71","4.41","5.12","0.3","160"
"Kurt Birkins","Orioles","1","2","0","19","2","34.1","7.86","3.67","0.79",".408","58.6 %","48.8 %","8.8 %","8.13","4.11","4.22","0.3","7266"
"Ryan Rowland-Smith","Mariners","1","0","0","26","0","38.2","9.78","3.49","0.93",".333","73.4 %","33.6 %","8.2 %","3.96","3.73","3.98","0.3","3245"
"J.D. Durbin","- - -","6","5","1","19","10","65.1","5.51","5.10","0.83",".327","62.6 %","48.4 %","7.5 %","6.06","5.00","5.34","0.3","7992"
"Octavio Dotel","- - -","2","1","11","33","0","30.2","12.03","3.52","1.17",".325","73.6 %","38.0 %","11.1 %","4.11","3.83","3.60","0.3","555"
"Luis Vizcaino","Yankees","8","2","0","77","0","75.1","7.41","5.14","0.72",".271","72.1 %","35.6 %","5.9 %","4.30","4.42","5.07","0.3","714"
"Yorman Bazardo","Tigers","2","1","0","11","2","23.2","5.70","1.90","0.76",".239","82.6 %","47.2 %","8.0 %","2.28","4.08","4.31","0.3","3143"
"Eric Stults","Dodgers","1","4","0","12","5","38.2","6.98","3.96","1.16",".357","68.9 %","39.4 %","10.0 %","5.82","4.77","4.71","0.3","8011"
"Marcus McBeth","Reds","3","2","0","23","0","19.2","7.78","3.20","0.92",".328","62.5 %","26.2 %","5.3 %","5.95","4.05","5.16","0.3","3874"
"Andrew Miller","Tigers","5","5","0","13","13","64.0","7.88","5.48","1.13",".327","70.5 %","49.3 %","13.1 %","5.63","5.27","4.84","0.3","6785"
"Jonathan Albaladejo","Nationals","1","1","0","14","0","14.1","7.53","1.26","0.63",".171","81.4 %","61.1 %","10.0 %","1.88","3.10","3.07","0.3","3521"
"Bill Bray","Reds","3","3","1","19","0","14.1","8.79","3.14","0.63",".349","56.1 %","37.2 %","5.9 %","6.28","3.24","3.82","0.3","8538"
"Jesus Colome","Nationals","5","1","1","61","0","66.0","5.86","3.68","0.82",".278","74.2 %","35.5 %","6.3 %","3.82","4.39","5.03","0.3","1198"
"Edgar Gonzalez","Diamondbacks","8","4","0","32","12","102.0","5.47","2.47","1.59",".283","69.4 %","44.5 %","13.2 %","5.03","5.26","4.64","0.3","1727"
"John Grabow","Pirates","3","2","1","63","0","51.2","7.32","3.31","1.05",".313","72.5 %","49.7 %","11.5 %","4.53","4.28","4.04","0.3","1848"
"Tim Redding","Nationals","3","6","0","15","15","84.0","5.04","4.07","1.07",".277","81.3 %","38.3 %","9.5 %","3.64","5.17","5.19","0.2","573"
"Joe Smith","Mets","3","2","0","54","0","44.1","9.14","4.26","0.61",".349","80.8 %","62.3 %","11.1 %","3.45","3.98","3.87","0.2","3281"
"Dustin Nippert","Diamondbacks","1","1","0","36","0","45.1","7.54","3.18","0.99",".314","59.7 %","38.0 %","10.4 %","5.56","4.06","3.95","0.2","4426"
"Kevin Hart","Cubs","0","0","0","8","0","11.0","10.64","3.27","0.00",".280","90.9 %","37.5 %","0.0 %","0.82","1.97","3.11","0.2","8079"
"Denny Bautista","Rockies","2","1","0","9","1","8.2","8.31","4.15","0.00",".514","47.8 %","30.3 %","0.0 %","12.46","3.12","5.15","0.2","1947"
"Joel Zumaya","Tigers","2","3","1","28","0","33.2","7.22","4.54","0.80",".213","67.9 %","36.5 %","6.5 %","4.28","4.40","4.95","0.2","4699"
"David Aardsma","White Sox","2","1","0","25","0","32.1","10.02","4.73","1.11",".376","64.2 %","36.8 %","10.0 %","6.40","4.29","4.23","0.2","1902"
"Brian Wolfe","Blue Jays","3","1","0","38","0","45.1","4.37","1.79","0.99",".228","75.0 %","55.7 %","11.1 %","2.98","4.43","4.24","0.2","8515"
"Steve Kline","Giants","1","2","2","68","0","46.0","3.33","3.52","0.39",".316","70.5 %","47.7 %","3.4 %","4.70","4.37","5.39","0.2","1164"
"Juan Gutierrez","Astros","1","1","0","7","3","21.1","6.75","2.53","1.27",".324","63.4 %","33.3 %","10.7 %","5.91","4.41","4.23","0.2","3265"
"Ryan Dempster","Cubs","2","7","28","66","0","66.2","7.43","4.05","1.08",".271","68.5 %","47.1 %","12.9 %","4.73","4.54","4.15","0.2","517"
"John Thomson","Royals","1","1","0","2","2","10.2","2.53","2.53","0.00",".325","68.8 %","57.5 %","0.0 %","3.37","3.52","5.17","0.2","453"
"Jon Leicester","Orioles","2","3","0","10","5","32.0","4.50","3.66","0.84",".300","52.3 %","35.5 %","6.0 %","7.59","4.96","5.70","0.2","2092"
"Carl Pavano","Yankees","1","0","0","2","2","11.1","3.18","1.59","0.79",".282","55.6 %","46.2 %","7.1 %","4.76","4.21","4.61","0.2","790"
"Kiko Calero","Athletics","1","5","1","46","0","40.2","6.86","4.65","0.66",".336","66.4 %","33.6 %","4.9 %","5.75","4.37","5.29","0.2","1676"
"Kyle Davies","- - -","7","15","0","28","28","136.0","6.55","4.63","1.46",".308","64.3 %","38.8 %","12.2 %","6.09","5.54","5.10","0.2","3642"
"Ryan Speier","Rockies","3","1","0","20","0","18.0","6.50","4.00","0.50",".352","76.1 %","41.5 %","6.3 %","4.00","4.02","4.41","0.2","3808"
"Todd Wellemeyer","- - -","3","3","0","32","11","79.1","6.81","4.54","1.25",".276","66.9 %","40.2 %","10.9 %","4.54","5.16","4.95","0.2","1709"
"Logan Kensing","Marlins","3","0","0","9","0","13.1","8.78","4.73","0.00",".297","90.0 %","28.6 %","0.0 %","1.35","3.31","5.01","0.2","6166"
"Taylor Tankersley","Marlins","6","1","1","67","0","47.1","9.32","5.51","0.76",".317","76.0 %","36.7 %","7.5 %","3.99","4.30","4.60","0.2","8249"
"Jon Lester","Red Sox","4","0","0","12","11","63.0","7.14","4.43","1.43",".279","76.0 %","34.4 %","11.1 %","4.57","5.24","4.97","0.2","4930"
"Luis Ayala","Nationals","2","2","1","44","0","42.1","5.95","2.55","1.06",".281","81.6 %","39.0 %","9.1 %","3.19","4.37","4.47","0.2","1650"
"Yoel Hernandez","Phillies","0","0","0","14","0","15.1","7.63","0.59","1.17",".353","65.9 %","45.3 %","9.5 %","5.28","3.44","3.46","0.2","2576"
"Jair Jurrjens","Tigers","3","1","0","7","7","30.2","3.82","3.23","1.17",".215","65.8 %","38.1 %","9.3 %","4.70","5.26","5.32","0.2","5556"
"Adam Loewen","Orioles","2","0","0","6","6","30.1","6.53","7.71","0.30",".286","76.9 %","52.2 %","3.7 %","3.56","5.09","5.77","0.2","2134"
"LaTroy Hawkins","Rockies","2","5","0","62","0","55.1","4.72","2.60","0.98",".264","78.9 %","63.3 %","16.2 %","3.42","4.47","3.90","0.2","729"
"Doug Slaten","Diamondbacks","3","2","0","61","0","36.1","6.94","3.47","0.99",".316","81.0 %","43.8 %","8.5 %","2.72","4.29","4.48","0.2","3107"
"Scott Williamson","Orioles","1","0","0","16","0","14.1","10.05","5.02","0.63",".306","64.5 %","40.0 %","6.3 %","4.40","3.59","4.08","0.2","361"
"Brian Lawrence","Mets","1","2","0","6","6","29.0","5.59","4.03","1.24",".379","68.1 %","40.6 %","9.3 %","6.83","5.24","5.31","0.2","1045"
"Yusmeiro Petit","Diamondbacks","3","4","0","14","10","57.0","6.32","2.84","1.89",".266","77.7 %","32.6 %","12.5 %","4.58","5.52","4.90","0.2","4020"
"Seth McClung","Brewers","0","1","0","14","0","12.0","8.25","3.75","0.00",".324","47.1 %","53.1 %","0.0 %","3.75","2.91","4.06","0.2","1657"
"Josh Johnson","Marlins","0","3","0","4","4","15.2","8.04","6.89","0.57",".455","57.4 %","44.4 %","8.3 %","7.47","4.58","4.71","0.2","4567"
